822
138	1 12	1 13	1 21	1 22	-0.2125291811
139	1 13	1 14	1 22	1 23	-0.2643080668
140	1 14	1 15	1 23	1 24	-0.1387465868
141	1 1	1 4	1 2	1 3	64.1833845
142	1 2	1 5	1 3	1 4	59.35709648
143	1 3	1 6	1 4	1 5	78.72822723
144	1 4	1 7	1 5	1 6	81.89348669
145	1 5	1 8	1 6	1 7	150.8022008
146	1 6	1 9	1 7	1 8	149.1434525
147	1 7	1 10	1 8	1 9	179.7947619
148	1 8	1 11	1 9	1 10	186.2404576
149	1 9	1 12	1 10	1 11	183.0275986
150	1 10	1 13	1 11	1 12	183.827433
151	1 11	1 14	1 12	1 13	164.8689179
152	1 12	1 15	1 13	1 14	145.1443845
153	1 13	1 16	1 14	1 15	108.3818139
154	1 14	1 17	1 15	1 16	70.25278748
155	1 15	1 18	1 16	1 17	60.65291649
156	1 16	1 19	1 17	1 18	57.28895925
157	1 17	1 20	1 18	1 19	58.32294601
158	1 18	1 21	1 19	1 20	56.69727057
159	1 19	1 22	1 20	1 21	61.18738246
160	1 20	1 23	1 21	1 22	66.52185898
161	1 21	1 24	1 22	1 23	73.85089979
162	1 1	1 7	1 3	1 5	28.77099402
163	1 2	1 8	1 4	1 6	31.80515044
164	1 3	1 9	1 5	1 7	52.40260043
165	1 4	1 10	1 6	1 8	63.99362644
166	1 5	1 11	1 7	1 9	66.34073486
167	1 6	1 12	1 8	1 10	67.3779724
168	1 7	1 13	1 9	1 11	77.63786366
169	1 8	1 14	1 10	1 12	71.04167218
170	1 9	1 15	1 11	1 13	64.09837778
171	1 10	1 16	1 12	1 14	65.72173552
172	1 11	1 17	1 13	1 15	58.6476855
173	1 12	1 18	1 14	1 16	39.67194225
174	1 13	1 19	1 15	1 17	25.88079663
175	1 14	1 20	1 16	1 18	23.35153803
176	1 15	1 21	1 17	1 19	20.8359003
177	1 16	1 22	1 18	1 20	21.22793565
178	1 17	1 23	1 19	1 21	23.06614423
179	1 18	1 24	1 20	1 22	27.41502443
180	1 1	1 10	1 4	1 7	28.81594753
181	1 2	1 11	1 5	1 8	34.02758896
182	1 3	1 12	1 6	1 9	36.86195028
183	1 4	1 13	1 7	1 10	34.39077318
184	1 5	1 14	1 8	1 11	29.16897237
185	1 6	1 15	1 9	1 12	26.24505395
186	1 7	1 16	1 10	1 13	33.88630773
187	1 8	1 17	1 11	1 14	38.42596936
188	1 9	1 18	1 12	1 15	37.46261458
189	1 10	1 19	1 13	1 16	32.45407369
190	1 11	1 20	1 14	1 17	22.06158117
191	1 12	1 21	1 15	1 18	15.98268623
192	1 13	1 22	1 16	1 19	15.75620572
193	1 14	1 23	1 17	1 20	15.84180777
194	1 15	1 24	1 18	1 21	15.38677986
195	1 1	1 3	1 5	1 7	-5.778090052
196	1 2	1 4	1 6	1 8	-10.21387063
197	1 3	1 5	1 7	1 9	-14.85120265
198	1 4	1 6	1 8	1 10	-17.86392861
199	1 5	1 7	1 9	1 11	-31.42152811
200	1 6	1 8	1 10	1 12	-35.43821258
201	1 7	1 9	1 11	1 13	-35.04422761
202	1 8	1 10	1 12	1 14	-36.38196748
203	1 9	1 11	1 13	1 15	-34.2742908
204	1 10	1 12	1 14	1 16	-22.75485814
205	1 11	1 13	1 15	1 17	-12.13718958
206	1 12	1 14	1 16	1 18	-9.696653528
207	1 13	1 15	1 17	1 19	-6.6702294
208	1 14	1 16	1 18	1 20	-5.889597717
209	1 15	1 17	1 19	1 21	-6.053807107
210	1 16	1 18	1 20	1 22	-5.863513214
211	1 17	1 19	1 21	1 23	-6.237302783
212	1 18	1 20	1 22	1 24	-7.389849341
213	1 1	1 3	1 7	1 9	-1.511391835
214	1 2	1 4	1 8	1 10	-1.900923583
215	1 3	1 5	1 9	1 11	-3.081004643
216	1 4	1 6	1 10	1 12	-4.211982807
217	1 5	1 7	1 11	1 13	-7.891551444
218	1 6	1 8	1 12	1 14	-10.13900183
219	1 7	1 9	1 13	1 15	-8.968070439
220	1 8	1 10	1 14	1 16	-5.241891916
221	1 9	1 11	1 15	1 17	-2.80762402
222	1 10	1 12	1 16	1 18	-2.397339235
223	1 11	1 13	1 17	1 19	-2.245719825
224	1 12	1 14	1 18	1 20	-2.061123255
225	1 13	1 15	1 19	1 21	-1.375615767
226	1 14	1 16	1 20	1 22	-1.007961658
227	1 15	1 17	1 21	1 23	-1.262456757
228	1 16	1 18	1 22	1 24	-1.622827377
229	1 1	1 3	1 9	1 11	-0.623709968
230	1 2	1 4	1 10	1 12	-0.6849026748
231	1 3	1 5	1 11	1 13	-1.15736343
232	1 4	1 6	1 12	1 14	-1.758230345
233	1 5	1 7	1 13	1 15	-2.864109534
234	1 6	1 8	1 14	1 16	-2.015301291
235	1 7	1 9	1 15	1 17	-1.110273968
236	1 8	1 10	1 16	1 18	-1.005845598
237	1 9	1 11	1 17	1 19	-0.9909226162
238	1 10	1 12	1 18	1 20	-0.9702296763
239	1 11	1 13	1 19	1 21	-0.9326646839
240	1 12	1 14	1 20	1 22	-0.9861035904
241	1 13	1 15	1 21	1 23	-0.8939355157
242	1 14	1 16	1 22	1 24	-0.667789926
243	1 1	1 3	1 11	1 13	-0.3560080116
244	1 2	1 4	1 12	1 14	-0.3547513222
245	1 3	1 5	1 13	1 15	-0.4872128183
246	1 4	1 6	1 14	1 16	-0.3942219379
247	1 5	1 7	1 15	1 17	-0.4260516956
248	1 6	1 8	1 16	1 18	-0.5156172556
249	1 7	1 9	1 17	1 19	-0.5176278316
250	1 8	1 10	1 18	1 20	-0.5169396445
251	1 9	1 11	1 19	1 21	-0.5113989861
252	1 10	1 12	1 20	1 22	-0.5815663395
253	1 11	1 13	1 21	1 23	-0.765523556
254	1 12	1 14	1 22	1 24	-0.8716038845
255	1 1	1 5	1 9	1 13	-5.218086053
256	1 2	1 6	1 10	1 14	-7.009867149
257	1 3	1 7	1 11	1 15	-12.40023723
258	1 4	1 8	1 12	1 16	-14.3067554
259	1 5	1 9	1 13	1 17	-13.36850564
260	1 6	1 10	1 14	1 18	-8.778656061
261	1 7	1 11	1 15	1 19	-5.426448435
262	1 8	1 12	1 16	1 20	-4.890354154
263	1 9	1 13	1 17	1 21	-4.680706111
264	1 10	1 14	1 18	1 22	-4.599022861
265	1 11	1 15	1 19	1 23	-3.967739523
266	1 12	1 16	1 20	1 24	-3.533459059
267	1 1	1 5	1 13	1 17	-0.7971846564
268	1 2	1 6	1 14	1 18	-0.634734261
269	1 3	1 7	1 15	1 19	-0.7872700786
270	1 4	1 8	1 16	1 20	-1.01197845
271	1 5	1 9	1 17	1 21	-1.193285079
272	1 6	1 10	1 18	1 22	-1.398305448
273	1 7	1 11	1 19	1 23	-1.601035817
274	1 8	1 12	1 20	1 24	-1.872523939
275	2 1	2 2	2 3	2 4	-21.0781233
276	2 2	2 3	2 4	2 5	-22.13969064
277	2 3	2 4	2 5	2 6	-21.0489712
278	2 4	2 5	2 6	2 7	-35.85223946
279	2 5	2 6	2 7	2 8	-38.04806401
280	2 6	2 7	2 8	2 9	-69.79727462
281	2 7	2 8	2 9	2 10	-65.22228468
282	2 8	2 9	2 10	2 11	-63.09820008
283	2 9	2 10	2 11	2 12	-65.31231328
284	2 10	2 11	2 12	2 13	-63.85023737
285	2 11	2 12	2 13	2 14	-68.27242481
286	2 12	2 13	2 14	2 15	-56.32001366
287	2 13	2 14	2 15	2 16	-30.66091872
288	2 14	2 15	2 16	2 17	-20.69806331
289	2 15	2 16	2 17	2 18	-21.28676155
290	2 16	2 17	2 18	2 19	-23.56641217
291	2 17	2 18	2 19	2 20	-21.99727644
292	2 18	2 19	2 20	2 21	-20.95713407
293	2 19	2 20	2 21	2 22	-20.18139614
294	2 20	2 21	2 22	2 23	-24.37031565
295	2 21	2 22	2 23	2 24	-26.40629767
296	2 1	2 2	2 4	2 5	-3.088614017
297	2 2	2 3	2 5	2 6	-3.09785622
298	2 3	2 4	2 6	2 7	-6.10669109
299	2 4	2 5	2 7	2 8	-8.629741968
300	2 5	2 6	2 8	2 9	-9.439846676
301	2 6	2 7	2 9	2 10	-18.40242207
302	2 7	2 8	2 10	2 11	-16.99180941
303	2 8	2 9	2 11	2 12	-16.82475231
304	2 9	2 10	2 12	2 13	-17.15534772
305	2 10	2 11	2 13	2 14	-18.4554316
306	2 11	2 12	2 14	2 15	-13.68763628
307	2 12	2 13	2 15	2 16	-6.732540743
308	2 13	2 14	2 16	2 17	-5.239456168
309	2 14	2 15	2 17	2 18	-3.264361146
310	2 15	2 16	2 18	2 19	-3.573295419
311	2 16	2 17	2 19	2 20	-3.777463095
312	2 17	2 18	2 20	2 21	-3.395125308
313	2 18	2 19	2 21	2 22	-3.312599024
314	2 19	2 20	2 22	2 23	-3.917261204
315	2 20	2 21	2 23	2 24	-5.066474453
316	2 1	2 2	2 5	2 6	-0.7314483177
317	2 2	2 3	2 6	2 7	-1.383745741
318	2 3	2 4	2 7	2 8	-2.108360795
319	2 4	2 5	2 8	2 9	-3.202460876
320	2 5	2 6	2 9	2 10	-3.714500441
321	2 6	2 7	2 10	2 11	-7.477004014
322	2 7	2 8	2 11	2 12	-7.125622202
323	2 8	2 9	2 12	2 13	-7.269191771
324	2 9	2 10	2 13	2 14	-7.842181021
325	2 10	2 11	2 14	2 15	-5.337211453
326	2 11	2 12	2 15	2 16	-2.518161931
327	2 12	2 13	2 16	2 17	-1.924177897
328	2 13	2 14	2 17	2 18	-1.658400057
329	2 14	2 15	2 18	2 19	-0.9622674542
330	2 15	2 16	2 19	2 20	-0.9424308685
331	2 16	2 17	2 20	2 21	-0.9727533598
332	2 17	2 18	2 21	2 22	-1.02725786
333	2 18	2 19	2 22	2 23	-1.278050005
334	2 19	2 20	2 23	2 24	-1.504210233
335	2 1	2 2	2 6	2 7	-0.565039774
336	2 2	2 3	2 7	2 8	-0.6150730063
337	2 3	2 4	2 8	2 9	-0.9106390071
338	2 4	2 5	2 9	2 10	-1.507120612
339	2 5	2 6	2 10	2 11	-1.827601586
340	2 6	2 7	2 11	2 12	-3.843776956
341	2 7	2 8	2 12	2 13	-3.824661329
342	2 8	2 9	2 13	2 14	-4.115246975
343	2 9	2 10	2 14	2 15	-2.639466728
344	2 10	2 11	2 15	2 16	-1.211848473
345	2 11	2 12	2 16	2 17	-0.9623090129
346	2 12	2 13	2 17	2 18	-0.8746194056
347	2 13	2 14	2 18	2 19	-0.7852007419
348	2 14	2 15	2 19	2 20	-0.4116039758
349	2 15	2 16	2 20	2 21	-0.3611597839
350	2 16	2 17	2 21	2 22	-0.4683766863
351	2 17	2 18	2 22	2 23	-0.6193958942
352	2 18	2 19	2 23	2 24	-0.6903278988
353	2 1	2 2	2 7	2 8	-0.3454764973
354	2 2	2 3	2 8	2 9	-0.322117152
355	2 3	2 4	2 9	2 10	-0.4716078792
356	2 4	2 5	2 10	2 11	-0.825386726
357	2 5	2 6	2 11	2 12	-1.051184491
358	2 6	2 7	2 12	2 13	-2.315929657
359	2 7	2 8	2 13	2 14	-2.427743112
360	2 8	2 9	2 14	2 15	-1.499051816
361	2 9	2 10	2 15	2 16	-0.6814105613
362	2 10	2 11	2 16	2 17	-0.5584480641
363	2 11	2 12	2 17	2 18	-0.5303127082
364	2 12	2 13	2 18	2 19	-0.5030379147
365	2 13	2 14	2 19	2 20	-0.4515799316
366	2 14	2 15	2 20	2 21	-0.2239658634
367	2 15	2 16	2 21	2 22	-0.2364033246
368	2 16	2 17	2 22	2 23	-0.3551854591
369	2 17	2 18	2 23	2 24	-0.3990366739
370	2 1	2 2	2 8	2 9	-0.2287251793
371	2 2	2 3	2 9	2 10	-0.1965595451
372	2 3	2 4	2 10	2 11	-0.2768894261
373	2 4	2 5	2 11	2 12	-0.5078100042
374	2 5	2 6	2 12	2 13	-0.6806603409
375	2 6	2 7	2 13	2 14	-1.570667728
376	2 7	2 8	2 14	2 15	-0.9260285371
377	2 8	2 9	2 15	2 16	-0.4219628107
378	2 9	2 10	2 16	2 17	-0.3559169211
379	2 10	2 11	2 17	2 18	-0.3462694499
380	2 11	2 12	2 18	2 19	-0.3377497969
381	2 12	2 13	2 19	2 20	-0.3213046663
382	2 13	2 14	2 20	2 21	-0.2884659965
383	2 14	2 15	2 21	2 22	-0.1864326862
384	2 15	2 16	2 22	2 23	-0.2024912867
385	2 16	2 17	2 23	2 24	-0.24920935
386	2 1	2 2	2 9	2 10	-0.1666263935
387	2 2	2 3	2 10	2 11	-0.1325562554
388	2 3	2 4	2 11	2 12	-0.1793707567
389	2 4	2 5	2 12	2 13	-0.3438241838
390	2 5	2 6	2 13	2 14	-0.4828164604
391	2 6	2 7	2 14	2 15	-0.6168550503
392	2 7	2 8	2 15	2 16	-0.2779290933
393	2 8	2 9	2 16	2 17	-0.2407330536
394	2 9	2 10	2 17	2 18	-0.2386206745
395	2 10	2 11	2 18	2 19	-0.2357048108
396	2 11	2 12	2 19	2 20	-0.2293794047
397	2 12	2 13	2 20	2 21	-0.2186938733
398	2 13	2 14	2 21	2 22	-0.2664145395
399	2 14	2 15	2 22	2 23	-0.1767802231
400	2 15	2 16	2 23	2 24	-0.1497718294
401	2 1	2 2	2 10	2 11	-0.127967774
402	2 2	2 3	2 11	2 12	-0.09608623661
403	2 3	2 4	2 12	2 13	-0.1263584856
404	2 4	2 5	2 13	2 14	-0.2509293603
405	2 5	2 6	2 14	2 15	-0.1937702957
406	2 6	2 7	2 15	2 16	-0.1944886103
407	2 7	2 8	2 16	2 17	-0.1696490099
408	2 8	2 9	2 17	2 18	-0.1705749491
409	2 9	2 10	2 18	2 19	-0.1703276811
410	2 10	2 11	2 19	2 20	-0.1673956639
411	2 11	2 12	2 20	2 21	-0.1632867395
412	2 12	2 13	2 21	2 22	-0.2125291811
413	2 13	2 14	2 22	2 23	-0.2643080668
414	2 14	2 15	2 23	2 24	-0.1387465868
415	2 1	2 4	2 2	2 3	64.1833845
416	2 2	2 5	2 3	2 4	59.35709648
417	2 3	2 6	2 4	2 5	78.72822723
418	2 4	2 7	2 5	2 6	81.89348669
419	2 5	2 8	2 6	2 7	150.8022008
420	2 6	2 9	2 7	2 8	149.1434525
421	2 7	2 10	2 8	2 9	179.7947619
422	2 8	2 11	2 9	2 10	186.2404576
423	2 9	2 12	2 10	2 11	183.0275986
424	2 10	2 13	2 11	2 12	183.827433
425	2 11	2 14	2 12	2 13	164.8689179
426	2 12	2 15	2 13	2 14	145.1443845
427	2 13	2 16	2 14	2 15	108.3818139
428	2 14	2 17	2 15	2 16	70.25278748
429	2 15	2 18	2 16	2 17	60.65291649
430	2 16	2 19	2 17	2 18	57.28895925
431	2 17	2 20	2 18	2 19	58.32294601
432	2 18	2 21	2 19	2 20	56.69727057
433	2 19	2 22	2 20	2 21	61.18738246
434	2 20	2 23	2 21	2 22	66.52185898
435	2 21	2 24	2 22	2 23	73.85089979
436	2 1	2 7	2 3	2 5	28.77099402
437	2 2	2 8	2 4	2 6	31.80515044
438	2 3	2 9	2 5	2 7	52.40260043
439	2 4	2 10	2 6	2 8	63.99362644
440	2 5	2 11	2 7	2 9	66.34073486
441	2 6	2 12	2 8	2 10	67.3779724
442	2 7	2 13	2 9	2 11	77.63786366
443	2 8	2 14	2 10	2 12	71.04167218
444	2 9	2 15	2 11	2 13	64.09837778
445	2 10	2 16	2 12	2 14	65.72173552
446	2 11	2 17	2 13	2 15	58.6476855
447	2 12	2 18	2 14	2 16	39.67194225
448	2 13	2 19	2 15	2 17	25.88079663
449	2 14	2 20	2 16	2 18	23.35153803
450	2 15	2 21	2 17	2 19	20.8359003
451	2 16	2 22	2 18	2 20	21.22793565
452	2 17	2 23	2 19	2 21	23.06614423
453	2 18	2 24	2 20	2 22	27.41502443
454	2 1	2 10	2 4	2 7	28.81594753
455	2 2	2 11	2 5	2 8	34.02758896
456	2 3	2 12	2 6	2 9	36.86195028
457	2 4	2 13	2 7	2 10	34.39077318
458	2 5	2 14	2 8	2 11	29.16897237
459	2 6	2 15	2 9	2 12	26.24505395
460	2 7	2 16	2 10	2 13	33.88630773
461	2 8	2 17	2 11	2 14	38.42596936
462	2 9	2 18	2 12	2 15	37.46261458
463	2 10	2 19	2 13	2 16	32.45407369
464	2 11	2 20	2 14	2 17	22.06158117
465	2 12	2 21	2 15	2 18	15.98268623
466	2 13	2 22	2 16	2 19	15.75620572
467	2 14	2 23	2 17	2 20	15.84180777
468	2 15	2 24	2 18	2 21	15.38677986
469	2 1	2 3	2 5	2 7	-5.778090052
470	2 2	2 4	2 6	2 8	-10.21387063
471	2 3	2 5	2 7	2 9	-14.85120265
472	2 4	2 6	2 8	2 10	-17.86392861
473	2 5	2 7	2 9	2 11	-31.42152811
474	2 6	2 8	2 10	2 12	-35.43821258
475	2 7	2 9	2 11	2 13	-35.04422761
476	2 8	2 10	2 12	2 14	-36.38196748
477	2 9	2 11	2 13	2 15	-34.2742908
478	2 10	2 12	2 14	2 16	-22.75485814
479	2 11	2 13	2 15	2 17	-12.13718958
480	2 12	2 14	2 16	2 18	-9.696653528
481	2 13	2 15	2 17	2 19	-6.6702294
482	2 14	2 16	2 18	2 20	-5.889597717
483	2 15	2 17	2 19	2 21	-6.053807107
484	2 16	2 18	2 20	2 22	-5.863513214
485	2 17	2 19	2 21	2 23	-6.237302783
486	2 18	2 20	2 22	2 24	-7.389849341
487	2 1	2 3	2 7	2 9	-1.511391835
488	2 2	2 4	2 8	2 10	-1.900923583
489	2 3	2 5	2 9	2 11	-3.081004643
490	2 4	2 6	2 10	2 12	-4.211982807
491	2 5	2 7	2 11	2 13	-7.891551444
492	2 6	2 8	2 12	2 14	-10.13900183
493	2 7	2 9	2 13	2 15	-8.968070439
494	2 8	2 10	2 14	2 16	-5.241891916
495	2 9	2 11	2 15	2 17	-2.80762402
496	2 10	2 12	2 16	2 18	-2.397339235
497	2 11	2 13	2 17	2 19	-2.245719825
498	2 12	2 14	2 18	2 20	-2.061123255
499	2 13	2 15	2 19	2 21	-1.375615767
500	2 14	2 16	2 20	2 22	-1.007961658
501	2 15	2 17	2 21	2 23	-1.262456757
502	2 16	2 18	2 22	2 24	-1.622827377
503	2 1	2 3	2 9	2 11	-0.623709968
504	2 2	2 4	2 10	2 12	-0.6849026748
505	2 3	2 5	2 11	2 13	-1.15736343
506	2 4	2 6	2 12	2 14	-1.758230345
507	2 5	2 7	2 13	2 15	-2.864109534
508	2 6	2 8	2 14	2 16	-2.015301291
509	2 7	2 9	2 15	2 17	-1.110273968
510	2 8	2 10	2 16	2 18	-1.005845598
511	2 9	2 11	2 17	2 19	-0.9909226162
512	2 10	2 12	2 18	2 20	-0.9702296763
513	2 11	2 13	2 19	2 21	-0.9326646839
514	2 12	2 14	2 20	2 22	-0.9861035904
515	2 13	2 15	2 21	2 23	-0.8939355157
516	2 14	2 16	2 22	2 24	-0.667789926
517	2 1	2 3	2 11	2 13	-0.3560080116
518	2 2	2 4	2 12	2 14	-0.3547513222
519	2 3	2 5	2 13	2 15	-0.4872128183
520	2 4	2 6	2 14	2 16	-0.3942219379
521	2 5	2 7	2 15	2 17	-0.4260516956
522	2 6	2 8	2 16	2 18	-0.5156172556
523	2 7	2 9	2 17	2 19	-0.5176278316
524	2 8	2 10	2 18	2 20	-0.5169396445
525	2 9	2 11	2 19	2 21	-0.5113989861
526	2 10	2 12	2 20	2 22	-0.5815663395
527	2 11	2 13	2 21	2 23	-0.765523556
528	2 12	2 14	2 22	2 24	-0.8716038845
529	2 1	2 5	2 9	2 13	-5.218086053
530	2 2	2 6	2 10	2 14	-7.009867149
531	2 3	2 7	2 11	2 15	-12.40023723
532	2 4	2 8	2 12	2 16	-14.3067554
533	2 5	2 9	2 13	2 17	-13.36850564
534	2 6	2 10	2 14	2 18	-8.778656061
535	2 7	2 11	2 15	2 19	-5.426448435
536	2 8	2 12	2 16	2 20	-4.890354154
537	2 9	2 13	2 17	2 21	-4.680706111
538	2 10	2 14	2 18	2 22	-4.599022861
539	2 11	2 15	2 19	2 23	-3.967739523
540	2 12	2 16	2 20	2 24	-3.533459059
541	2 1	2 5	2 13	2 17	-0.7971846564
542	2 2	2 6	2 14	2 18	-0.634734261
543	2 3	2 7	2 15	2 19	-0.7872700786
544	2 4	2 8	2 16	2 20	-1.01197845
545	2 5	2 9	2 17	2 21	-1.193285079
546	2 6	2 10	2 18	2 22	-1.398305448
547	2 7	2 11	2 19	2 23	-1.601035817
548	2 8	2 12	2 20	2 24	-1.872523939
549	3 1	3 2	3 3	3 4	-21.0781233
550	3 2	3 3	3 4	3 5	-22.13969064
551	3 3	3 4	3 5	3 6	-21.0489712
552	3 4	3 5	3 6	3 7	-35.85223946
553	3 5	3 6	3 7	3 8	-38.04806401
554	3 6	3 7	3 8	3 9	-69.79727462
555	3 7	3 8	3 9	3 10	-65.22228468
556	3 8	3 9	3 10	3 11	-63.09820008
557	3 9	3 10	3 11	3 12	-65.31231328
